epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,80.6688,0.48775,0.07497,0.08988,0.38693,0.86293,0.99682,1,0.995,0.90724,0.99682,1,0.995,0.9892,0.39559,0.07226,0.00736,0.34254,0.82166,0.0015347,0.0015347,0.0015347
49,82.315,0.51784,0.10527,0.0955,0.38681,0.86911,0.99652,1,0.995,0.92821,0.99652,1,0.995,0.9889,0.41151,0.08928,0.00926,0.37467,0.82656,0.0015248,0.0015248,0.0015248
50,83.9757,0.47744,0.07203,0.08636,0.38761,0.85743,0.99674,1,0.995,0.91267,0.99674,1,0.995,0.995,0.44508,0.06744,0.00641,0.31607,0.82922,0.0015149,0.0015149,0.0015149
51,85.6166,0.48643,0.06553,0.08344,0.38405,0.85807,0.99618,1,0.995,0.94689,0.99618,1,0.995,0.995,0.38626,0.0438,0.00422,0.32454,0.81604,0.001505,0.001505,0.001505
52,87.3258,0.45657,0.06179,0.10091,0.37775,0.85908,0.99667,1,0.995,0.91509,0.99667,1,0.995,0.995,0.40253,0.03939,0.00501,0.34221,0.81593,0.0014951,0.0014951,0.0014951
53,88.9795,0.45215,0.06172,0.05454,0.35645,0.85688,0.99719,1,0.995,0.92299,0.99719,1,0.995,0.995,0.41313,0.03272,0.00528,0.36736,0.83042,0.0014852,0.0014852,0.0014852
54,90.6331,0.45827,0.09416,0.05998,0.37666,0.85875,0.99695,1,0.995,0.92578,0.99695,1,0.995,0.995,0.41499,0.04139,0.00576,0.3607,0.82628,0.0014753,0.0014753,0.0014753
55,92.3042,0.45115,0.06113,0.05706,0.36309,0.85979,0.99682,1,0.995,0.91445,0.99682,1,0.995,0.995,0.44073,0.02877,0.00454,0.31647,0.83611,0.0014654,0.0014654,0.0014654
56,93.9727,0.46188,0.05465,0.05955,0.37475,0.86099,0.9968,1,0.995,0.92584,0.9968,1,0.995,0.995,0.42729,0.04117,0.0043,0.34257,0.83671,0.0014555,0.0014555,0.0014555
57,95.6086,0.48797,0.06327,0.07564,0.36796,0.855,0.99658,1,0.995,0.91714,0.99658,1,0.995,0.995,0.4193,0.02545,0.00491,0.32628,0.82565,0.0014456,0.0014456,0.0014456
58,97.2973,0.47496,0.06383,0.081,0.38362,0.86518,0.99686,1,0.995,0.92533,0.99686,1,0.995,0.995,0.41403,0.02638,0.00494,0.316,0.82766,0.0014357,0.0014357,0.0014357
59,98.9819,0.4512,0.06696,0.09033,0.35737,0.86275,0.9972,1,0.995,0.94637,0.9972,1,0.995,0.995,0.40107,0.0237,0.00642,0.29707,0.82315,0.0014258,0.0014258,0.0014258
60,100.602,0.48474,0.08146,0.09034,0.37876,0.85766,0.99713,1,0.995,0.90311,0.99713,1,0.995,0.995,0.44505,0.02721,0.00932,0.32702,0.84009,0.0014159,0.0014159,0.0014159
61,102.22,0.46596,0.06886,0.07674,0.37178,0.87236,0.99634,1,0.995,0.94378,0.99634,1,0.995,0.995,0.37956,0.03003,0.00897,0.31169,0.82594,0.001406,0.001406,0.001406
62,103.849,0.44225,0.06783,0.0776,0.35634,0.86227,0.9962,1,0.995,0.94206,0.9962,1,0.995,0.995,0.42136,0.03142,0.00546,0.32532,0.82662,0.0013961,0.0013961,0.0013961
63,105.5,0.41578,0.06016,0.06293,0.34502,0.83825,0.99687,1,0.995,0.94485,0.99687,1,0.995,0.995,0.33749,0.02974,0.00369,0.29338,0.81622,0.0013862,0.0013862,0.0013862
64,107.156,0.44785,0.08085,0.06602,0.34715,0.86486,0.99689,1,0.995,0.90889,0.99689,1,0.995,0.995,0.43728,0.02502,0.00377,0.31494,0.83326,0.0013763,0.0013763,0.0013763
65,108.767,0.44607,0.05623,0.06448,0.35035,0.86096,0.99712,1,0.995,0.90977,0.99712,1,0.995,0.995,0.40328,0.03002,0.00326,0.30644,0.83573,0.0013664,0.0013664,0.0013664
66,110.38,0.43296,0.05762,0.06345,0.34387,0.85714,0.99705,1,0.995,0.94049,0.99705,1,0.995,0.995,0.34608,0.03374,0.00251,0.31102,0.81701,0.0013565,0.0013565,0.0013565
67,112.012,0.45298,0.06705,0.06751,0.35073,0.86582,0.997,1,0.995,0.94103,0.997,1,0.995,0.995,0.37804,0.05309,0.00242,0.2862,0.81407,0.0013466,0.0013466,0.0013466
68,113.655,0.43326,0.05423,0.07499,0.33891,0.85514,0.99686,1,0.995,0.93161,0.99686,1,0.995,0.995,0.3861,0.03181,0.00567,0.30313,0.81723,0.0013367,0.0013367,0.0013367
69,115.269,0.42939,0.06358,0.07968,0.34042,0.84947,0.99696,1,0.995,0.93051,0.99696,1,0.995,0.995,0.37587,0.02694,0.00906,0.29442,0.81242,0.0013268,0.0013268,0.0013268
70,116.973,0.44142,0.04908,0.05704,0.33784,0.85593,0.99705,1,0.995,0.92786,0.99705,1,0.995,0.995,0.34872,0.04251,0.00633,0.2919,0.8087,0.0013169,0.0013169,0.0013169
71,118.562,0.457,0.06062,0.08201,0.35235,0.86541,0.99709,1,0.995,0.95673,0.99709,1,0.995,0.995,0.3653,0.02387,0.0057,0.29499,0.80914,0.001307,0.001307,0.001307
72,120.24,0.4511,0.06681,0.07168,0.35197,0.84691,0.99698,1,0.995,0.91896,0.99698,1,0.995,0.995,0.40957,0.04132,0.00378,0.31551,0.81991,0.0012971,0.0012971,0.0012971
73,121.923,0.42215,0.06316,0.05296,0.33638,0.84946,0.99688,1,0.995,0.93547,0.99688,1,0.995,0.995,0.37988,0.0284,0.00495,0.30719,0.81182,0.0012872,0.0012872,0.0012872
74,123.554,0.43339,0.05642,0.05757,0.34008,0.8525,0.9971,1,0.995,0.9398,0.9971,1,0.995,0.995,0.36146,0.03127,0.00482,0.29496,0.80098,0.0012773,0.0012773,0.0012773
75,125.19,0.4261,0.05736,0.05603,0.34263,0.84958,0.99698,1,0.995,0.94977,0.99698,1,0.995,0.995,0.33293,0.04538,0.00424,0.28781,0.80281,0.0012674,0.0012674,0.0012674
76,126.841,0.44177,0.07174,0.08308,0.35358,0.86188,0.99705,1,0.995,0.94212,0.99705,1,0.995,0.995,0.3477,0.03629,0.00783,0.27801,0.80521,0.0012575,0.0012575,0.0012575
77,128.489,0.4066,0.06706,0.06444,0.33683,0.84104,0.99709,1,0.995,0.93465,0.99709,1,0.995,0.995,0.3725,0.05388,0.00508,0.31009,0.8096,0.0012476,0.0012476,0.0012476
78,130.111,0.38749,0.05354,0.05462,0.31927,0.83552,0.99692,1,0.995,0.92622,0.99692,1,0.995,0.995,0.41977,0.03928,0.00421,0.29532,0.81706,0.0012377,0.0012377,0.0012377
79,131.744,0.39621,0.05085,0.04559,0.3111,0.83398,0.99638,1,0.995,0.93942,0.99638,1,0.995,0.995,0.4044,0.03825,0.00304,0.29465,0.8179,0.0012278,0.0012278,0.0012278
80,133.375,0.39456,0.05377,0.05176,0.32252,0.84394,0.99279,1,0.995,0.95391,0.99279,1,0.995,0.995,0.39564,0.03162,0.00335,0.31533,0.82015,0.0012179,0.0012179,0.0012179
81,134.982,0.43103,0.04746,0.05578,0.34568,0.85056,0.99361,1,0.995,0.97469,0.99361,1,0.995,0.995,0.35861,0.01871,0.00388,0.31273,0.80936,0.001208,0.001208,0.001208
82,136.643,0.41304,0.06308,0.05137,0.33032,0.8436,0.99644,1,0.995,0.96778,0.99644,1,0.995,0.995,0.3692,0.02522,0.00315,0.30152,0.82497,0.0011981,0.0011981,0.0011981
83,138.236,0.3932,0.06295,0.08899,0.32455,0.83452,0.99705,1,0.995,0.95057,0.99705,1,0.995,0.995,0.36765,0.02298,0.0037,0.30738,0.82277,0.0011882,0.0011882,0.0011882
84,139.816,0.40336,0.05778,0.05305,0.32655,0.84455,0.99708,1,0.995,0.95472,0.99708,1,0.995,0.995,0.34791,0.02297,0.01161,0.29085,0.80203,0.0011783,0.0011783,0.0011783
85,141.452,0.39398,0.04374,0.05266,0.32524,0.82554,0.99709,1,0.995,0.94443,0.99709,1,0.995,0.995,0.35414,0.02235,0.00489,0.28064,0.80471,0.0011684,0.0011684,0.0011684
86,143.093,0.41649,0.0385,0.0538,0.32659,0.84935,0.99716,1,0.995,0.95086,0.99716,1,0.995,0.995,0.34277,0.03021,0.00371,0.26582,0.8045,0.0011585,0.0011585,0.0011585
87,144.765,0.38371,0.04319,0.04053,0.3216,0.83225,0.99712,1,0.995,0.95255,0.99712,1,0.995,0.995,0.36858,0.03014,0.00364,0.3076,0.813,0.0011486,0.0011486,0.0011486
88,146.452,0.41026,0.04717,0.07603,0.32424,0.84876,0.9971,1,0.995,0.94236,0.9971,1,0.995,0.995,0.36049,0.02488,0.00469,0.31136,0.80564,0.0011387,0.0011387,0.0011387
